#taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	domain
1513793	core	Pseudobacteriovorax antillogorgiicola	Pseudobacteriovorax antillogorgiicola	Bacteria
1513896	periphery	Sphingobacterium nematocida	Sphingobacterium nematocida	Bacteria
1514105	periphery	Erysipelothrix larvae	Erysipelothrix larvae	Bacteria
1514668	periphery	Ruminococcus sp. HUN007	Ruminococcus sp. HUN007	Bacteria
1514904	core	Ahrensia marina	Ahrensia marina	Bacteria
1514971	periphery	Haloprofundus marisrubri	Haloprofundus marisrubri	Archaea
1515439	periphery	Paraburkholderia susongensis	Paraburkholderia susongensis	Bacteria
1515612	periphery	Sphingopyxis fribergensis	Sphingopyxis fribergensis	Bacteria
1515613	periphery	Porphyromonas sp. COT239OH1446	Porphyromonas sp. COT-239 OH1446	Bacteria
1515617	periphery	Porphyromonas sp. COT290OH3588	Porphyromonas sp. COT-290 OH3588	Bacteria
1515746	periphery	Shewanella mangrovi	Shewanella mangrovi	Bacteria
1516104	periphery	Bacillus solisilvae	Bacillus solisilvae	Bacteria
1517416	periphery	Idiomarina atlantica	Idiomarina atlantica	Bacteria
1518501	periphery	Bradyrhizobium valentinum	Bradyrhizobium valentinum	Bacteria
1518534	periphery	Anopheles coluzzii	Anopheles coluzzii	Eukaryotes
1519377	periphery	Geobacillus sp. LC300	Geobacillus sp. LC300	Bacteria
1519438	periphery	Eubacterium sp. ER2	Eubacterium sp. ER2	Bacteria
1519464	core	Thermochlorobacteriaceae bacterium GBChlB	Candidatus Thermochlorobacteriaceae bacterium GBChlB	Bacteria
1519471	periphery	Streptomyces sp. NRRLS4	Streptomyces sp. NRRL S-4	Bacteria
1519492	periphery	Nocardia sp. NRRLS836	Nocardia sp. NRRL S-836	Bacteria
1519494	periphery	Nocardiopsis sp. NRRLB16309	Nocardiopsis sp. NRRL B-16309	Bacteria
1519643	periphery	Desulfovibrio gilichinskyi	Desulfovibrio gilichinskyi	Bacteria
1520801	periphery	Pseudobutyrivibrio sp. ACV2	Pseudobutyrivibrio sp. ACV-2	Bacteria
1520802	periphery	Pseudobutyrivibrio sp. YE44	Pseudobutyrivibrio sp. YE44	Bacteria
1520811	periphery	Butyrivibrio sp. INlla21	Butyrivibrio sp. INlla21	Bacteria
1520812	periphery	Butyrivibrio sp. YAB3001	Butyrivibrio sp. YAB3001	Bacteria
1520813	periphery	Paracoccus sp. SM22M07	Paracoccus sp. SM22M-07	Bacteria
1520815	periphery	Ruminococcaceae bacterium D5	Ruminococcaceae bacterium D5	Bacteria
1520816	periphery	Ruminococcaceae bacterium YAD3003	Ruminococcaceae bacterium YAD3003	Bacteria
1520817	periphery	Ruminococcaceae bacterium FB2012	Ruminococcaceae bacterium FB2012	Bacteria
1520819	periphery	Ruminococcaceae bacterium YRB3002	Ruminococcaceae bacterium YRB3002	Bacteria
1520820	periphery	Lachnospiraceae bacterium XBD2001	Lachnospiraceae bacterium XBD2001	Bacteria
1520823	periphery	Lachnospiraceae bacterium NE2001	Lachnospiraceae bacterium NE2001	Bacteria
1520825	periphery	Lachnospiraceae bacterium XPB1003	Lachnospiraceae bacterium XPB1003	Bacteria
1520826	periphery	Lachnospiraceae bacterium XBB2008	Lachnospiraceae bacterium XBB2008	Bacteria
1520827	periphery	Lachnospiraceae bacterium XBB1006	Lachnospiraceae bacterium XBB1006	Bacteria
1520828	periphery	Lachnospiraceae bacterium YSD2013	Lachnospiraceae bacterium YSD2013	Bacteria
1520829	periphery	Peptostreptococcaceae bacterium pGA8	Peptostreptococcaceae bacterium pGA-8	Bacteria
1520830	core	Prevotellaceae bacterium HUN156	Prevotellaceae bacterium HUN156	Bacteria
1521187	periphery	Chloroflexus sp. MSG	Chloroflexus sp. MS-G	Bacteria
1522189	periphery	Ceraceosorus guamensis	Ceraceosorus guamensis	Eukaryotes
1522308	periphery	Bacillus niameyensis	Bacillus niameyensis	Bacteria
1522309	core	Flaviflexus massiliensis	Flaviflexus massiliensis	Bacteria
1522310	core	Mobilicoccus massiliensis	Mobilicoccus massiliensis	Bacteria
1522311	periphery	Tessaracoccus massiliensis	Tessaracoccus massiliensis	Bacteria
1522312	periphery	Kingella negevensis	Kingella negevensis	Bacteria
1522315	core	Numidum massiliense	Numidum massiliense	Bacteria
1522317	core	Nigerium massiliense	Nigerium massiliense	Bacteria
1522318	periphery	Bacillus kwashiorkori	Bacillus kwashiorkori	Bacteria
1522368	periphery	Modestobacter caceresii	Modestobacter caceresii	Bacteria
1523247	periphery	Geodermatophilus dictyosporus	Geodermatophilus dictyosporus	Bacteria
1523413	periphery	Novosphingobium sp. AAP1	Novosphingobium sp. AAP1	Bacteria
1523417	periphery	Bosea sp. AAP35	Bosea sp. AAP35	Bacteria
1523418	periphery	alpha proteobacterium AAP38	alpha proteobacterium AAP38	Bacteria
1523420	periphery	Rhizobium sp. AAP43	Rhizobium sp. AAP43	Bacteria
1523422	periphery	Brevundimonas sp. AAP58	Brevundimonas sp. AAP58	Bacteria
1523423	periphery	Porphyrobacter sp. AAP60	Porphyrobacter sp. AAP60	Bacteria
1523424	periphery	beta proteobacterium AAP65	beta proteobacterium AAP65	Bacteria
1523425	periphery	Novosphingobium sp. AAP83	Novosphingobium sp. AAP83	Bacteria
1523427	periphery	Novosphingobium sp. AAP93	Novosphingobium sp. AAP93	Bacteria
1523428	periphery	beta proteobacterium AAP99	beta proteobacterium AAP99	Bacteria
1523430	periphery	Rhodopseudomonas sp. AAP120	Rhodopseudomonas sp. AAP120	Bacteria
1523432	periphery	alpha proteobacterium AAP81b	alpha proteobacterium AAP81b	Bacteria
1523503	periphery	Pseudomonas sp. ML96	Pseudomonas sp. ML96	Bacteria
1524254	periphery	Pseudohongiella acticola	Pseudohongiella acticola	Bacteria
1524460	core	Phaeodactylibacter xiamenensis	Phaeodactylibacter xiamenensis	Bacteria
1524463	periphery	Rhodanobacter sp. FW510T8	Rhodanobacter sp. FW510-T8	Bacteria
1524467	periphery	Serratia sp. Ag1	Serratia sp. Ag1	Bacteria
1524831	periphery	Pseudogymnoascus sp. 233421I1	Pseudogymnoascus sp. 23342-1-I1	Eukaryotes
1526571	core	Lacimicrobium alkaliphilum	Lacimicrobium alkaliphilum	Bacteria
1526658	periphery	Bosea vaviloviae	Bosea vaviloviae	Bacteria
1526735	core	Vogesella sp. EB	Vogesella sp. EB	Bacteria
1526927	periphery	Planococcus sp. PAMC21323	Planococcus sp. PAMC 21323	Bacteria
1527293	periphery	Paenibacillus sp. FF9	Paenibacillus sp. FF9	Bacteria
1527444	periphery	Atelocyanobacterium thalassa SIO64986	Candidatus Atelocyanobacterium thalassa isolate SIO64986	Bacteria
1527607	periphery	Oryzisolibacter propanilivorax	Oryzisolibacter propanilivorax	Bacteria
1528098	core	Rickettsiales bacterium Ac37b	Rickettsiales bacterium Ac37b	Bacteria
1528099	core	Lawsonella clevelandensis	Lawsonella clevelandensis	Bacteria
1528106	periphery	Thalassospira australica	Thalassospira australica	Bacteria
1529006	periphery	Mesorhizobium sp. 1M11	Mesorhizobium sp. 1M-11	Bacteria
1529069	periphery	Polaribacter sp. BM10	Polaribacter sp. BM10	Bacteria
1530186	periphery	Palleronia rufa	Palleronia rufa	Bacteria
1531429	core	Coriobacteriaceae bacterium 6813	Coriobacteriaceae bacterium 68-1-3	Bacteria
1531955	periphery	Sinomonas mesophila	Sinomonas mesophila	Bacteria
1531958	periphery	Desulfosporosinus sp. BICA19	Desulfosporosinus sp. BICA1-9	Bacteria
1531961	periphery	Peptococcaceae bacterium BICA17	Peptococcaceae bacterium BICA1-7	Bacteria
1531962	periphery	Peptococcaceae bacterium BICA18	Peptococcaceae bacterium BICA1-8	Bacteria
1531966	periphery	Torrubiella hemipterigena	Torrubiella hemipterigena	Eukaryotes
1532555	periphery	Brevundimonas sp. DS20	Brevundimonas sp. DS20	Bacteria
1532558	periphery	Rhizobium sp. YS1r	Rhizobium sp. YS-1r	Bacteria
1535287	periphery	Devosia sp. 172E8	Devosia sp. 17-2-E-8	Bacteria
1535422	periphery	Thalassotalea sp. ND16A	Thalassotalea sp. ND16A	Bacteria
1535751	periphery	Anoxybacillus sp. KU26	Anoxybacillus sp. KU2-6(11)	Bacteria
1536641	periphery	Lysinimicrobium iriomotense	Lysinimicrobium iriomotense	Bacteria
1536651	periphery	Desulfosporosinus sp. TolM	Desulfosporosinus sp. Tol-M	Bacteria
1536652	periphery	Desulfobulbus sp. TolSR	Desulfobulbus sp. Tol-SR	Bacteria
1536770	periphery	Paenibacillus sp. FSLR50345	Paenibacillus sp. FSL R5-0345	Bacteria
1536772	periphery	Paenibacillus sp. FSLR70273	Paenibacillus sp. FSL R7-0273	Bacteria
1536773	periphery	Paenibacillus sp. FSLR70331	Paenibacillus sp. FSL R7-0331	Bacteria
1536774	periphery	Paenibacillus sp. FSLH70357	Paenibacillus sp. FSL H7-0357	Bacteria
1537102	periphery	Theileria equi	Theileria equi strain WA	Eukaryotes
1537715	periphery	Sphingopyxis sp. MWB1	Sphingopyxis sp. MWB1	Bacteria
1537915	periphery	Sulfurospirillum sp. SCADC	Sulfurospirillum sp. SCADC	Bacteria
1537917	periphery	Sulfuricurvum sp. MLSB	Sulfuricurvum sp. MLSB	Bacteria
1537994	periphery	Alteromonas sp. LOR	Alteromonas sp. LOR	Bacteria
